ILMN_ID	ILMN_1653180	ILMN_1656057	ILMN_1658259	ILMN_1661994	ILMN_1666385	ILMN_1670959	ILMN_1675048	ILMN_1678535	ILMN_1687858	ILMN_1688480	ILMN_1701134	ILMN_1702125	ILMN_1708105	ILMN_1708805	ILMN_1718629	ILMN_1718807	ILMN_1720373	ILMN_1724250	ILMN_1726169	ILMN_1726387	ILMN_1728071	ILMN_1729987	ILMN_1733970	ILMN_1737433	ILMN_1737953	ILMN_1738652	ILMN_1740045	ILMN_1741459	ILMN_1744381	ILMN_1748271	ILMN_1751346	ILMN_1766650	ILMN_1767351	ILMN_1767365	ILMN_1768363	ILMN_1770085	ILMN_1770940	ILMN_1778242	ILMN_1779356	ILMN_1782045	ILMN_1784602	ILMN_1791123	ILMN_1791447	ILMN_1791759	ILMN_1791896	ILMN_1797975	ILMN_1800317	ILMN_1801119	ILMN_1806907	ILMN_1811014	ILMN_1813489	ILMN_2077623	ILMN_2235283	ILMN_2264625	ILMN_2310814	ILMN_2324157	ILMN_2340052	ILMN_2352131
RefSeq_ID	NM_003290.1	NM_002658.2	NM_004147.3	NM_206594.1	NM_005184.2	NM_004363.2	NM_000875.2	NM_000125.2	NM_001743.3	NM_053056.2	NM_000314.4	NM_004502.3	NM_152998.1	NM_181659.1	NM_003489.2	NM_005445.3	NM_003486.5	NM_002087.2	NM_003792.2	NM_001042492.1	NM_033360.2	NM_198291.1	NM_004323.4	NM_000966.3	NM_017777.1	NM_032989.1	NM_001040275.1	NM_052988.2	NM_000602.1	NM_001880.2	NM_001982.2	NM_004496.2	NM_001011645.1	NM_002576.3	NM_004656.2	NM_006763.2	NM_004360.2	NM_006888.3	NM_000546.3	NM_002014.2	NM_000389.2	NM_005656.2	NM_199168.2	NM_001565.2	NM_198120.1	NM_001504.1	NM_003392.3	NM_000633.2	NM_002583.2	NM_000926.3	NM_002880.2	NM_012250.3	NM_138957.2	NM_133433.2	NM_016841.2	NM_198195.1	NM_006312.3	NM_004448.2
Symbol	TPM4	PLAU	DRG1	ESRRG	CALM3	CEACAM5	IGF1R	ESR1	CALM2	CCND1	PTEN	HOXB7	EZH2	NCOA3	NRIP1	SMC3	SLC7A5	GRN	EDF1	NF1	KRAS	SRC	BAG1	RARG	MKS1	BAD	ESR2	CDK10	SERPINE1	ATF2	ERBB3	FOXA1	AR	PAK1	BAP1	BTG2	CDH1	CALM1	TP53	FKBP4	CDKN1A	TMPRSS2	CXCL12	CXCL10	EBAG9	CXCR3	WNT5A	BCL2	PAWR	PGR	RAF1	RRAS2	MAPK1	NIPBL	MAPT	UBA3	NCOR2	ERBB2
MB.0000	8.18	7.56	9.66	5.81	11.11	5.52	6	8.98	12.19	11.07	8.48	8.19	5.62	8.65	9.58	8.29	7.67	8.92	12.26	5.82	6.87	7.76	6.12	5.55	5.76	7.95	5.62	8.53	7.18	6.5	8.36	7.98	7.31	7.47	7.05	11.18	9.68	11.51	6.42	7.41	11.4	8.05	12.01	7.61	9.49	5.72	6.11	8.56	7.41	5.75	7.94	8.1	6.79	8.05	8.03	7.96	10.69	9.4
MB.0002	8.6	8.6	9.24	6.23	11.42	5.88	6.3	10.26	12.35	13.36	7.94	6.66	6.27	8.59	9.09	7.42	7.67	8.98	11.88	5.48	7.42	8.2	6.29	5.56	5.64	8.83	5.55	9.28	6.37	6.62	10.49	11.83	8.11	8.37	7.49	9.08	11.34	11.13	6.26	9.24	8.08	5.81	9.46	7.2	9.23	5.41	6.4	8.51	7.94	7.55	7.97	8.1	6.87	8.17	10.38	7.44	10.41	9.86
MB.0005	8.7	9.4	9.42	10.41	10.68	5.7	5.85	10	13.62	10.54	8.13	7.57	6.52	8.66	9.05	8.46	7.11	9.37	11.74	5.91	7.88	7.92	6.03	5.64	5.95	8.57	5.65	7.51	7.67	6.69	8.61	11.75	7.57	7.77	6.47	10.17	11.01	11.15	6.49	7.92	9.44	7.05	7.74	8.49	9.19	5.67	8.08	6.87	8.17	7.41	7.42	8.68	7.24	7.25	8.07	8.39	9.42	9.72
MB.0006	8.19	9.96	8.82	5.54	10.36	5.6	5.4	10.28	13.53	11.34	7.96	7.51	6.1	10.24	9.05	8.5	8.76	9.56	11.98	5.93	7.91	8.13	6.31	5.59	6.02	8.03	5.42	8.1	6.18	6.05	9.31	11.77	5.77	6.7	5.99	7.46	11.17	11.76	6.76	9.09	9.75	6.98	9.25	10.53	10.55	5.96	5.74	8.12	7.7	6.9	7.81	8.02	6.92	7.85	7.14	7.51	9.91	10.48
MB.0008	7.66	8.13	9.24	5.55	11.56	6.93	6.09	11.41	12.7	12.13	7.89	8.39	6.78	8.74	9.58	8.3	10.14	9.68	11.13	6.03	7.47	8.9	6.08	5.89	6.05	8.3	5.61	9.73	6.8	6.8	11.25	11.93	7.03	7.32	7.44	8.25	10.79	11.17	6.38	9.73	10.56	7.33	8.85	10.03	11.06	5.78	6.48	6.89	7.63	7.46	7.64	7.35	7.57	7.73	7.58	8.32	9.3	10.13
MB.0010	8.67	10.15	9.16	6.57	11.5	6.34	6.12	11.13	12.49	11.09	8.46	7.12	6.71	9.01	9.23	8.79	7.96	8.76	12.23	5.91	7.76	7.99	5.85	5.73	6.24	8.35	5.6	8.19	6.97	6.7	11.38	12.02	7.99	7.66	6.96	9.09	11.09	10.63	5.46	9.48	8.91	6.23	10.33	9.51	9.08	5.6	7.05	7.05	7.67	6.02	7.99	8.08	7.24	8.47	8.98	8.1	9.86	9.81
MB.0014	7.5	8.15	9.8	9.29	9.65	6.95	5.61	10.78	13.59	10.52	8.44	7.95	5.91	8.48	9.95	8.74	6.05	7.96	12.17	5.91	7.62	7.18	6.39	5.5	5.88	8.3	5.49	7.38	6.11	6.34	8.84	11.47	6.86	7.46	6.28	9.06	9.37	10.59	6.02	8.13	8.2	6.16	9.17	8.37	9.78	5.66	6.21	8.1	6.95	7.65	7.6	8.56	7.26	7.95	7.9	8.61	9.14	9.33
MB.0022	7.5	8.13	9.39	7.02	10.33	5.69	5.57	10.34	13.11	11.23	8.33	7.7	6.11	9.11	9.85	8.66	6.78	8.22	11.74	5.57	7.72	7.61	5.67	5.6	5.92	7.72	5.65	7.55	6.05	6.16	8.61	10.52	7.18	7.24	6.33	9.18	8.27	10.76	6.18	8.99	8.9	6.26	9.34	10.89	10.12	6.55	7.93	7.49	6.64	5.72	7.27	8.54	7.54	7.8	7.3	8.28	9.17	8.56
